Country Name,Region,Income Group,Year,CO2
Czech Republic,Europe & Central Asia,High income,1992,138176.227
Germany,Europe & Central Asia,High income,1992,891975.748
Djibouti,Middle East & North Africa,Lower middle income,1992,311.695
Dominica,Latin America & Caribbean,Upper middle income,1992,58.672
Denmark,Europe & Central Asia,High income,1992,54322.938
Dominican Republic,Latin America & Caribbean,Upper middle income,1992,10923.993
Algeria,Middle East & North Africa,Upper middle income,1992,80138.618
Ecuador,Latin America & Caribbean,Upper middle income,1992,22280.692
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,1992,81264.387
Eritrea,Sub-Saharan Africa,Low income,1992,
Spain,Europe & Central Asia,High income,1992,233921.597
Estonia,Europe & Central Asia,High income,1992,23879.504
Ethiopia,Sub-Saharan Africa,Low income,1992,2966.603
Finland,Europe & Central Asia,High income,1992,47472.982
Fiji,East Asia & Pacific,Upper middle income,1992,748.068
France,Europe & Central Asia,High income,1992,365893.26
Faroe Islands,Europe & Central Asia,High income,1992,649.059
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,1992,99.009
Gabon,Sub-Saharan Africa,Upper middle income,1992,4932.115
United Kingdom,Europe & Central Asia,High income,1992,556280.233
Georgia,Europe & Central Asia,Upper middle income,1992,15335.394
Ghana,Sub-Saharan Africa,Lower middle income,1992,3982.362
Gibraltar,Europe & Central Asia,High income,1992,234.688
Guinea,Sub-Saharan Africa,Low income,1992,1059.763
"Gambia, The",Sub-Saharan Africa,Low income,1992,179.683
Guinea-Bissau,Sub-Saharan Africa,Low income,1992,179.683
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,1992,157.681
Greece,Europe & Central Asia,High income,1992,75499.863
Grenada,Latin America & Caribbean,Upper middle income,1992,117.344
Greenland,Europe & Central Asia,High income,1992,480.377
Guatemala,Latin America & Caribbean,Upper middle income,1992,6017.547
Guam,East Asia & Pacific,High income,1992,
Guyana,Latin America & Caribbean,Upper middle income,1992,1045.095
"Hong Kong SAR, China",East Asia & Pacific,High income,1992,33094.675
Honduras,Latin America & Caribbean,Lower middle income,1992,3076.613
Croatia,Europe & Central Asia,High income,1992,16417.159
Haiti,Latin America & Caribbean,Low income,1992,909.416
Hungary,Europe & Central Asia,High income,1992,60395.49
Indonesia,East Asia & Pacific,Lower middle income,1992,202576.081
Isle of Man,Europe & Central Asia,High income,1992,
India,South Asia,Lower middle income,1992,699087.881
Ireland,Europe & Central Asia,High income,1992,31033.821
"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,1992,228468.768
Iraq,Middle East & North Africa,Upper middle income,1992,59112.04
Iceland,Europe & Central Asia,High income,1992,1818.832
Israel,Middle East & North Africa,High income,1992,42790.223
Italy,Europe & Central Asia,High income,1992,420535.227
Jamaica,Latin America & Caribbean,Upper middle income,1992,7715.368
Jordan,Middle East & North Africa,Upper middle income,1992,12266.115
Japan,East Asia & Pacific,High income,1992,1123847.492
Kazakhstan,Europe & Central Asia,Upper middle income,1992,262043.82
Kenya,Sub-Saharan Africa,Lower middle income,1992,5540.837
Kyrgyz Republic,Europe & Central Asia,Lower middle income,1992,11217.353
Cambodia,East Asia & Pacific,Lower middle income,1992,1349.456
Kiribati,East Asia & Pacific,Lower middle income,1992,25.669
St. Kitts and Nevis,Latin America & Caribbean,High income,1992,110.01
"Korea, Rep.",East Asia & Pacific,High income,1992,284280.508
Kuwait,Middle East & North Africa,High income,1992,21085.25
Lao PDR,East Asia & Pacific,Lower middle income,1992,256.69
Lebanon,Middle East & North Africa,Upper middle income,1992,10359.275
Liberia,Sub-Saharan Africa,Low income,1992,282.359
Libya,Middle East & North Africa,Upper middle income,1992,37260.387
St. Lucia,Latin America & Caribbean,Upper middle income,1992,201.685
Liechtenstein,Europe & Central Asia,High income,1992,
Sri Lanka,South Asia,Upper middle income,1992,5185.138
Lesotho,Sub-Saharan Africa,Lower middle income,1992,1587.811
Lithuania,Europe & Central Asia,High income,1992,22148.68
Luxembourg,Europe & Central Asia,High income,1992,10571.961
Latvia,Europe & Central Asia,High income,1992,14143.619
"Macao SAR, China",East Asia & Pacific,High income,1992,1081.765
St. Martin (French part),Latin America & Caribbean,High income,1992,
Morocco,Middle East & North Africa,Lower middle income,1992,26039.367
Monaco,Europe & Central Asia,High income,1992,
Moldova,Europe & Central Asia,Lower middle income,1992,20971.573
Madagascar,Sub-Saharan Africa,Low income,1992,1004.758
Maldives,South Asia,Upper middle income,1992,231.021
Mexico,Latin America & Caribbean,Upper middle income,1992,334698.091
Marshall Islands,East Asia & Pacific,Upper middle income,1992,55.005
North Macedonia,Europe & Central Asia,Upper middle income,1992,10777.313
Mali,Sub-Saharan Africa,Low income,1992,443.707
Malta,Middle East & North Africa,High income,1992,2024.184
Myanmar,East Asia & Pacific,Lower middle income,1992,4888.111
Montenegro,Europe & Central Asia,Upper middle income,1992,
Mongolia,East Asia & Pacific,Lower middle income,1992,11019.335
Northern Mariana Islands,East Asia & Pacific,High income,1992,
Mozambique,Sub-Saharan Africa,Low income,1992,1004.758
Mauritania,Sub-Saharan Africa,Lower middle income,1992,968.088
Mauritius,Sub-Saharan Africa,Upper middle income,1992,1708.822
Malawi,Sub-Saharan Africa,Low income,1992,795.739
Malaysia,East Asia & Pacific,Upper middle income,1992,75298.178
Namibia,Sub-Saharan Africa,Upper middle income,1992,1151.438
New Caledonia,East Asia & Pacific,High income,1992,1584.144
Niger,Sub-Saharan Africa,Low income,1992,700.397
Nigeria,Sub-Saharan Africa,Lower middle income,1992,46614.904
Nicaragua,Latin America & Caribbean,Lower middle income,1992,2394.551
Netherlands,Europe & Central Asia,High income,1992,162224.413
Norway,Europe & Central Asia,High income,1992,32009.243
Nepal,South Asia,Low income,1992,1331.121
Nauru,East Asia & Pacific,Upper middle income,1992,121.011
New Zealand,East Asia & Pacific,High income,1992,25082.28
Oman,Middle East & North Africa,High income,1992,12079.098
Pakistan,South Asia,Lower middle income,1992,72789.95
Panama,Latin America & Caribbean,High income,1992,4246.386
Peru,Latin America & Caribbean,Upper middle income,1992,20425.19
Philippines,East Asia & Pacific,Lower middle income,1992,48752.765
Palau,East Asia & Pacific,High income,1992,234.688
Papua New Guinea,East Asia & Pacific,Lower middle income,1992,2053.52
Poland,Europe & Central Asia,High income,1992,354745.58
Puerto Rico,Latin America & Caribbean,High income,1992,
"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,1992,
Portugal,Europe & Central Asia,High income,1992,48279.722
Paraguay,Latin America & Caribbean,Upper middle income,1992,2530.23
West Bank and Gaza,Middle East & North Africa,Lower middle income,1992,
French Polynesia,East Asia & Pacific,High income,1992,414.371
Qatar,Middle East & North Africa,High income,1992,26802.103
Romania,Europe & Central Asia,Upper middle income,1992,128645.694
Russian Federation,Europe & Central Asia,Upper middle income,1992,2078668.286
Rwanda,Sub-Saharan Africa,Low income,1992,487.711
Saudi Arabia,Middle East & North Africa,High income,1992,285534.622
Sudan,Sub-Saharan Africa,Lower middle income,1992,4378.398
Senegal,Sub-Saharan Africa,Lower middle income,1992,3479.983
Singapore,East Asia & Pacific,High income,1992,48426.402
Solomon Islands,East Asia & Pacific,Lower middle income,1992,143.013
Sierra Leone,Sub-Saharan Africa,Low income,1992,447.374
El Salvador,Latin America & Caribbean,Lower middle income,1992,3318.635
San Marino,Europe & Central Asia,High income,1992,
Somalia,Sub-Saharan Africa,Low income,1992,682.062
Serbia,Europe & Central Asia,Upper middle income,1992,
South Sudan,Sub-Saharan Africa,Low income,1992,
São Tomé and Principe,Sub-Saharan Africa,Lower middle income,1992,47.671
Suriname,Latin America & Caribbean,Upper middle income,1992,2068.188
Slovak Republic,Europe & Central Asia,High income,1992,44183.683
Slovenia,Europe & Central Asia,High income,1992,12478.801
Sweden,Europe & Central Asia,High income,1992,51026.305
Eswatini,Sub-Saharan Africa,Lower middle income,1992,264.024
Sint Maarten (Dutch part),Latin America & Caribbean,High income,1992,
Seychelles,Sub-Saharan Africa,High income,1992,172.349
Syrian Arab Republic,Middle East & North Africa,Low income,1992,42918.568
Turks and Caicos Islands,Latin America & Caribbean,High income,1992,33.003
Chad,Sub-Saharan Africa,Low income,1992,84.341
Togo,Sub-Saharan Africa,Low income,1992,836.076
Thailand,East Asia & Pacific,Upper middle income,1992,109778.979
Tajikistan,Europe & Central Asia,Low income,1992,7315.665
Turkmenistan,Europe & Central Asia,Upper middle income,1992,33028.669
Timor-Leste,East Asia & Pacific,Lower middle income,1992,
Tonga,East Asia & Pacific,Upper middle income,1992,69.673
Trinidad and Tobago,Latin America & Caribbean,High income,1992,19152.741
Tunisia,Middle East & North Africa,Lower middle income,1992,15023.699
Turkey,Europe & Central Asia,Upper middle income,1992,153108.251
Tuvalu,East Asia & Pacific,Upper middle income,1992,7.334
Tanzania,Sub-Saharan Africa,Low income,1992,2324.878
Uganda,Sub-Saharan Africa,Low income,1992,788.405
Ukraine,Europe & Central Asia,Lower middle income,1992,630929.352
Uruguay,Latin America & Caribbean,High income,1992,5170.47
United States,North America,High income,1992,4909533.614
Uzbekistan,Europe & Central Asia,Lower middle income,1992,111806.83
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,1992,84.341
"Venezuela, RB",Latin America & Caribbean,Upper middle income,1992,105972.633
British Virgin Islands,Latin America & Caribbean,High income,1992,69.673
Virgin Islands (U.S.),Latin America & Caribbean,High income,1992,
Vietnam,East Asia & Pacific,Lower middle income,1992,21477.619
Vanuatu,East Asia & Pacific,Lower middle income,1992,62.339
Samoa,East Asia & Pacific,Upper middle income,1992,110.01
Kosovo,Europe & Central Asia,Upper middle income,1992,
"Yemen, Rep.",Middle East & North Africa,Low income,1992,9952.238
South Africa,Sub-Saharan Africa,Upper middle income,1992,301687.757
Zambia,Sub-Saharan Africa,Lower middle income,1992,2456.89
Zimbabwe,Sub-Saharan Africa,Lower middle income,1992,17011.213
Aruba,Latin America & Caribbean,High income,1993,1595.145
Afghanistan,South Asia,Low income,1993,1345.789
Angola,Sub-Saharan Africa,Lower middle income,1993,5775.525
Albania,Europe & Central Asia,Upper middle income,1993,2335.879
Andorra,Europe & Central Asia,High income,1993,410.704
United Arab Emirates,Middle East & North Africa,High income,1993,65980.331
Argentina,Latin America & Caribbean,Upper middle income,1993,117927.053
Armenia,Europe & Central Asia,Upper middle income,1993,2555.899
American Samoa,East Asia & Pacific,Upper middle income,1993,
Antigua and Barbuda,Latin America & Caribbean,High income,1993,271.358
Australia,East Asia & Pacific,High income,1993,277397.549
Austria,Europe & Central Asia,High income,1993,57102.524
Azerbaijan,Europe & Central Asia,Upper middle income,1993,48452.071
Burundi,Sub-Saharan Africa,Low income,1993,227.354
Belgium,Europe & Central Asia,High income,1993,107652.119
Benin,Sub-Saharan Africa,Low income,1993,1133.103
Burkina Faso,Sub-Saharan Africa,Low income,1993,627.057
Bangladesh,South Asia,Lower middle income,1993,17407.249
Bulgaria,Europe & Central Asia,Upper middle income,1993,67861.502
Bahrain,Middle East & North Africa,High income,1993,14642.331
"Bahamas, The",Latin America & Caribbean,High income,1993,1701.488
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1993,12603.479
Belarus,Europe & Central Asia,Upper middle income,1993,76768.645
Belize,Latin America & Caribbean,Upper middle income,1993,377.701
Bermuda,North America,High income,1993,539.049
Bolivia,Latin America & Caribbean,Lower middle income,1993,7829.045
Brazil,Latin America & Caribbean,Upper middle income,1993,230738.641
Barbados,Latin America & Caribbean,High income,1993,1114.768
Brunei Darussalam,East Asia & Pacific,High income,1993,4968.785
Bhutan,South Asia,Lower middle income,1993,183.35
Botswana,Sub-Saharan Africa,Upper middle income,1993,3197.624
Central African Republic,Sub-Saharan Africa,Low income,1993,223.687
Canada,North America,High income,1993,445580.837
Switzerland,Europe & Central Asia,High income,1993,40751.371
Channel Islands,Europe & Central Asia,High income,1993,
Chile,Latin America & Caribbean,High income,1993,34627.481
China,East Asia & Pacific,Upper middle income,1993,2878694.009
Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,1993,5346.486
Cameroon,Sub-Saharan Africa,Lower middle income,1993,3898.021
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,1993,2592.569
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,1993,1320.12
Colombia,Latin America & Caribbean,Upper middle income,1993,64022.153
Comoros,Sub-Saharan Africa,Lower middle income,1993,69.673
Cabo Verde,Sub-Saharan Africa,Lower middle income,1993,110.01
Costa Rica,Latin America & Caribbean,Upper middle income,1993,3953.026
Cuba,Latin America & Caribbean,Upper middle income,1993,29380.004
Curaçao,Latin America & Caribbean,High income,1993,
Cayman Islands,Latin America & Caribbean,High income,1993,330.03
Cyprus,Europe & Central Asia,High income,1993,5449.162
Czech Republic,Europe & Central Asia,High income,1993,132631.723
Germany,Europe & Central Asia,High income,1993,877645.112
Djibouti,Middle East & North Africa,Lower middle income,1993,311.695
Dominica,Latin America & Caribbean,Upper middle income,1993,62.339
Denmark,Europe & Central Asia,High income,1993,57065.854
Dominican Republic,Latin America & Caribbean,Upper middle income,1993,11763.736
Algeria,Middle East & North Africa,Upper middle income,1993,82210.473
Ecuador,Latin America & Caribbean,Upper middle income,1993,24205.867
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,1993,93156.468
Eritrea,Sub-Saharan Africa,Low income,1993,
Spain,Europe & Central Asia,High income,1993,219253.597
Estonia,Europe & Central Asia,High income,1993,19508.44
Ethiopia,Sub-Saharan Africa,Low income,1993,3028.942
Finland,Europe & Central Asia,High income,1993,50402.915
Fiji,East Asia & Pacific,Upper middle income,1993,751.735
France,Europe & Central Asia,High income,1993,359916.05
Faroe Islands,Europe & Central Asia,High income,1993,583.053
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,1993,99.009
Gabon,Sub-Saharan Africa,Upper middle income,1993,4990.787
United Kingdom,Europe & Central Asia,High income,1993,545711.939
Georgia,Europe & Central Asia,Upper middle income,1993,9952.238
Ghana,Sub-Saharan Africa,Lower middle income,1993,4547.08
Gibraltar,Europe & Central Asia,High income,1993,238.355
Guinea,Sub-Saharan Africa,Low income,1993,1089.099
"Gambia, The",Sub-Saharan Africa,Low income,1993,187.017
Guinea-Bissau,Sub-Saharan Africa,Low income,1993,183.35
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,1993,99.009
Greece,Europe & Central Asia,High income,1993,75712.549
Grenada,Latin America & Caribbean,Upper middle income,1993,121.011
Greenland,Europe & Central Asia,High income,1993,498.712
Guatemala,Latin America & Caribbean,Upper middle income,1993,5658.181
Guam,East Asia & Pacific,High income,1993,
Guyana,Latin America & Caribbean,Upper middle income,1993,1045.095
"Hong Kong SAR, China",East Asia & Pacific,High income,1993,34964.845
Honduras,Latin America & Caribbean,Lower middle income,1993,2849.259
Croatia,Europe & Central Asia,High income,1993,16750.856
Haiti,Latin America & Caribbean,Low income,1993,663.727
Hungary,Europe & Central Asia,High income,1993,61917.295
Indonesia,East Asia & Pacific,Lower middle income,1993,218600.871
Isle of Man,Europe & Central Asia,High income,1993,
India,South Asia,Lower middle income,1993,723697.118
Ireland,Europe & Central Asia,High income,1993,31261.175
"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,1993,237214.563
Iraq,Middle East & North Africa,Upper middle income,1993,63362.093
Iceland,Europe & Central Asia,High income,1993,1976.513
Israel,Middle East & North Africa,High income,1993,45074.764
Italy,Europe & Central Asia,High income,1993,411917.777
Jamaica,Latin America & Caribbean,Upper middle income,1993,8005.061
Jordan,Middle East & North Africa,Upper middle income,1993,12101.1
Japan,East Asia & Pacific,High income,1993,1109887.223
Kazakhstan,Europe & Central Asia,Upper middle income,1993,217621.782
Kenya,Sub-Saharan Africa,Lower middle income,1993,6347.577
Kyrgyz Republic,Europe & Central Asia,Lower middle income,1993,8621.117
Cambodia,East Asia & Pacific,Lower middle income,1993,1386.126
Kiribati,East Asia & Pacific,Lower middle income,1993,29.336
St. Kitts and Nevis,Latin America & Caribbean,High income,1993,113.677
"Korea, Rep.",East Asia & Pacific,High income,1993,321951.599
Kuwait,Middle East & North Africa,High income,1993,33274.358
Lao PDR,East Asia & Pacific,Lower middle income,1993,256.69
Lebanon,Middle East & North Africa,Upper middle income,1993,11683.062
Liberia,Sub-Saharan Africa,Low income,1993,315.362
Libya,Middle East & North Africa,Upper middle income,1993,38947.207
St. Lucia,Latin America & Caribbean,Upper middle income,1993,223.687
Liechtenstein,Europe & Central Asia,High income,1993,
Sri Lanka,South Asia,Upper middle income,1993,5042.125
Lesotho,Sub-Saharan Africa,Lower middle income,1993,1635.482
Lithuania,Europe & Central Asia,High income,1993,17495.257
Luxembourg,Europe & Central Asia,High income,1993,10788.314
Latvia,Europe & Central Asia,High income,1993,12016.759
"Macao SAR, China",East Asia & Pacific,High income,1993,1180.774
St. Martin (French part),Latin America & Caribbean,High income,1993,
Morocco,Middle East & North Africa,Lower middle income,1993,28217.565
Monaco,Europe & Central Asia,High income,1993,
Moldova,Europe & Central Asia,Lower middle income,1993,15628.754
Madagascar,Sub-Saharan Africa,Low income,1993,1030.427
Maldives,South Asia,Upper middle income,1993,198.018
Mexico,Latin America & Caribbean,Upper middle income,1993,339468.858
Marshall Islands,East Asia & Pacific,Upper middle income,1993,62.339
North Macedonia,Europe & Central Asia,Upper middle income,1993,10340.94
Mali,Sub-Saharan Africa,Low income,1993,454.708
Malta,Middle East & North Africa,High income,1993,2651.241
Myanmar,East Asia & Pacific,Lower middle income,1993,5342.819
Montenegro,Europe & Central Asia,Upper middle income,1993,
Mongolia,East Asia & Pacific,Lower middle income,1993,9284.844
Northern Mariana Islands,East Asia & Pacific,High income,1993,
Mozambique,Sub-Saharan Africa,Low income,1993,1078.098
Mauritania,Sub-Saharan Africa,Lower middle income,1993,982.756
Mauritius,Sub-Saharan Africa,Upper middle income,1993,1774.828
Malawi,Sub-Saharan Africa,Low income,1993,891.081
Malaysia,East Asia & Pacific,Upper middle income,1993,91722.671
Namibia,Sub-Saharan Africa,Upper middle income,1993,1389.793
New Caledonia,East Asia & Pacific,High income,1993,1837.167
Niger,Sub-Saharan Africa,Low income,1993,781.071
Nigeria,Sub-Saharan Africa,Lower middle income,1993,45137.103
Nicaragua,Latin America & Caribbean,Lower middle income,1993,2302.876
Netherlands,Europe & Central Asia,High income,1993,164802.314
Norway,Europe & Central Asia,High income,1993,35148.195
Nepal,South Asia,Low income,1993,1466.8
Nauru,East Asia & Pacific,Upper middle income,1993,113.677
New Zealand,East Asia & Pacific,High income,1993,26688.426
Oman,Middle East & North Africa,High income,1993,13457.89
Pakistan,South Asia,Lower middle income,1993,78008.091
Panama,Latin America & Caribbean,High income,1993,3942.025
Peru,Latin America & Caribbean,Upper middle income,1993,23615.48
Philippines,East Asia & Pacific,Lower middle income,1993,49482.498
Palau,East Asia & Pacific,High income,1993,234.688
Papua New Guinea,East Asia & Pacific,Lower middle income,1993,1994.848
Poland,Europe & Central Asia,High income,1993,353253.111
Puerto Rico,Latin America & Caribbean,High income,1993,
"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,1993,
Portugal,Europe & Central Asia,High income,1993,46926.599
Paraguay,Latin America & Caribbean,Upper middle income,1993,2867.594
West Bank and Gaza,Middle East & North Africa,Lower middle income,1993,
French Polynesia,East Asia & Pacific,High income,1993,425.372
Qatar,Middle East & North Africa,High income,1993,30722.126
Romania,Europe & Central Asia,Upper middle income,1993,125297.723
Russian Federation,Europe & Central Asia,Upper middle income,1993,1938445.873
Rwanda,Sub-Saharan Africa,Low income,1993,495.045
Saudi Arabia,Middle East & North Africa,High income,1993,313818.193
Sudan,Sub-Saharan Africa,Lower middle income,1993,3021.608
Senegal,Sub-Saharan Africa,Lower middle income,1993,3593.66
Singapore,East Asia & Pacific,High income,1993,51187.653
Solomon Islands,East Asia & Pacific,Lower middle income,1993,143.013
Sierra Leone,Sub-Saharan Africa,Low income,1993,447.374
El Salvador,Latin America & Caribbean,Lower middle income,1993,3795.345
San Marino,Europe & Central Asia,High income,1993,
Somalia,Sub-Saharan Africa,Low income,1993,641.725
Serbia,Europe & Central Asia,Upper middle income,1993,
South Sudan,Sub-Saharan Africa,Low income,1993,
São Tomé and Principe,Sub-Saharan Africa,Lower middle income,1993,47.671
Suriname,Latin America & Caribbean,Upper middle income,1993,2042.519
Slovak Republic,Europe & Central Asia,High income,1993,42881.898
Slovenia,Europe & Central Asia,High income,1993,13164.53
Sweden,Europe & Central Asia,High income,1993,51756.038
Eswatini,Sub-Saharan Africa,Lower middle income,1993,132.012
Sint Maarten (Dutch part),Latin America & Caribbean,High income,1993,
Seychelles,Sub-Saharan Africa,High income,1993,183.35
Syrian Arab Republic,Middle East & North Africa,Low income,1993,45665.151
Turks and Caicos Islands,Latin America & Caribbean,High income,1993,40.337
Chad,Sub-Saharan Africa,Low income,1993,91.675
Togo,Sub-Saharan Africa,Low income,1993,865.412
Thailand,East Asia & Pacific,Upper middle income,1993,124949.358
Tajikistan,Europe & Central Asia,Low income,1993,5177.804
Turkmenistan,Europe & Central Asia,Upper middle income,1993,28316.574
Timor-Leste,East Asia & Pacific,Lower middle income,1993,
Tonga,East Asia & Pacific,Upper middle income,1993,84.341
Trinidad and Tobago,Latin America & Caribbean,High income,1993,17971.967
Tunisia,Middle East & North Africa,Lower middle income,1993,16501.5
Turkey,Europe & Central Asia,Upper middle income,1993,159136.799
Tuvalu,East Asia & Pacific,Upper middle income,1993,7.334
Tanzania,Sub-Saharan Africa,Low income,1993,2596.236
Uganda,Sub-Saharan Africa,Low income,1993,781.071
Ukraine,Europe & Central Asia,Lower middle income,1993,539335.026
Uruguay,Latin America & Caribbean,High income,1993,4466.406
United States,North America,High income,1993,5028674.444
Uzbekistan,Europe & Central Asia,Lower middle income,1993,116232.899
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,1993,102.676
"Venezuela, RB",Latin America & Caribbean,Upper middle income,1993,124391.974
British Virgin Islands,Latin America & Caribbean,High income,1993,73.34
Virgin Islands (U.S.),Latin America & Caribbean,High income,1993,
Vietnam,East Asia & Pacific,Lower middle income,1993,23006.758
Vanuatu,East Asia & Pacific,Lower middle income,1993,62.339
Samoa,East Asia & Pacific,Upper middle income,1993,110.01
Kosovo,Europe & Central Asia,Upper middle income,1993,
"Yemen, Rep.",Middle East & North Africa,Low income,1993,8705.458
South Africa,Sub-Saharan Africa,Upper middle income,1993,321049.517
Zambia,Sub-Saharan Africa,Lower middle income,1993,2500.894
Zimbabwe,Sub-Saharan Africa,Lower middle income,1993,16362.154
Aruba,Latin America & Caribbean,High income,1994,1613.48
Afghanistan,South Asia,Low income,1994,1294.451
Angola,Sub-Saharan Africa,Lower middle income,1994,3890.687
Albania,Europe & Central Asia,Upper middle income,1994,1925.175
Andorra,Europe & Central Asia,High income,1994,407.037
United Arab Emirates,Middle East & North Africa,High income,1994,73130.981
Argentina,Latin America & Caribbean,Upper middle income,1994,122408.127
Armenia,Europe & Central Asia,Upper middle income,1994,2706.246
American Samoa,East Asia & Pacific,Upper middle income,1994,
Antigua and Barbuda,Latin America & Caribbean,High income,1994,267.691
Australia,East Asia & Pacific,High income,1994,278119.948
Austria,Europe & Central Asia,High income,1994,57054.853
Azerbaijan,Europe & Central Asia,Upper middle income,1994,41976.149
Burundi,Sub-Saharan Africa,Low income,1994,234.688
Belgium,Europe & Central Asia,High income,1994,112334.878
Benin,Sub-Saharan Africa,Low income,1994,1265.115
Burkina Faso,Sub-Saharan Africa,Low income,1994,645.392
Bangladesh,South Asia,Lower middle income,1994,18969.391
Bulgaria,Europe & Central Asia,Upper middle income,1994,54161.59
Bahrain,Middle East & North Africa,High income,1994,14789.011
"Bahamas, The",Latin America & Caribbean,High income,1994,1686.82
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1994,3230.627
Belarus,Europe & Central Asia,Upper middle income,1994,65056.247
Belize,Latin America & Caribbean,Upper middle income,1994,374.034
Bermuda,North America,High income,1994,531.715
Bolivia,Latin America & Caribbean,Lower middle income,1994,8635.785
Brazil,Latin America & Caribbean,Upper middle income,1994,242154.012
Barbados,Latin America & Caribbean,High income,1994,748.068
Brunei Darussalam,East Asia & Pacific,High income,1994,4693.76
Bhutan,South Asia,Lower middle income,1994,212.686
Botswana,Sub-Saharan Africa,Upper middle income,1994,3032.609
Central African Republic,Sub-Saharan Africa,Low income,1994,234.688
Canada,North America,High income,1994,456849.528
Switzerland,Europe & Central Asia,High income,1994,41323.423
Channel Islands,Europe & Central Asia,High income,1994,
Chile,Latin America & Caribbean,High income,1994,38103.797
China,East Asia & Pacific,Upper middle income,1994,3058241.33
Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,1994,4686.426
Cameroon,Sub-Saharan Africa,Lower middle income,1994,3817.347
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,1994,1639.149
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,1994,2148.862
Colombia,Latin America & Caribbean,Upper middle income,1994,67571.809
